phase,experiment,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked,conflicts,yields,relay_drops
P10,P10_crowded,152,ENHANCED,50,50,0,5485,109.70,526,0.0951,1848,0,14,14,24,24,14
P10,P10_crowded,152,REFERENCE,50,45,0,1071,23.80,1999,0.0225,989,0,0,0,0,0,0
P10,P10_crowded,153,ENHANCED,50,50,0,4966,99.32,527,0.0949,1794,0,11,11,25,25,11
P10,P10_crowded,153,REFERENCE,50,45,0,1134,25.20,1999,0.0225,974,0,0,0,0,0,0
P10,P10_crowded,154,ENHANCED,50,50,0,5294,105.88,535,0.0935,1810,0,10,10,31,31,10
P10,P10_crowded,154,REFERENCE,50,50,0,1255,25.10,329,0.1520,1036,0,0,0,0,0,0
P10,P10_crowded,155,ENHANCED,50,50,0,4757,95.14,514,0.0973,1806,0,8,8,29,29,8
P10,P10_crowded,155,REFERENCE,50,50,0,1166,23.32,335,0.1493,1033,0,0,0,0,0,0
P10,P10_crowded,156,ENHANCED,50,50,0,4375,87.50,491,0.1018,1748,0,8,8,19,19,8
P10,P10_crowded,156,REFERENCE,50,44,0,1093,24.84,1999,0.0220,961,0,0,0,0,0,0
P10,P10_crowded,157,ENHANCED,50,50,0,4302,86.04,481,0.1040,1716,0,5,5,16,16,5
P10,P10_crowded,157,REFERENCE,50,43,0,1082,25.16,1999,0.0215,947,0,0,0,0,0,0
P10,P10_crowded,158,ENHANCED,50,50,0,4809,96.18,510,0.0980,1777,0,8,8,15,15,8
P10,P10_crowded,158,REFERENCE,50,41,0,968,23.61,1999,0.0205,902,0,0,0,0,0,0
P10,P10_crowded,159,ENHANCED,50,50,0,4679,93.58,493,0.1014,1746,0,9,9,14,14,9
P10,P10_crowded,159,REFERENCE,50,40,0,1190,29.75,1999,0.0200,888,0,0,0,0,0,0
P10,P10_dense,150,ENHANCED,50,50,0,5311,106.22,529,0.0945,1886,0,13,13,15,15,13
P10,P10_dense,150,REFERENCE,50,50,0,1036,20.72,329,0.1520,1077,0,0,0,0,0,0
P10,P10_dense,151,ENHANCED,50,50,0,5237,104.74,529,0.0945,1926,0,13,13,28,28,13
P10,P10_dense,151,REFERENCE,50,35,0,787,22.49,1999,0.0175,929,0,0,0,0,0,0
P10,P10_dense,152,ENHANCED,50,50,0,5610,112.20,550,0.0909,1939,0,13,13,25,25,13
P10,P10_dense,152,REFERENCE,50,48,0,1058,22.04,1999,0.0240,1059,0,0,0,0,0,0
P10,P10_dense,153,ENHANCED,50,50,0,5021,100.42,503,0.0994,1836,0,14,14,12,12,14
P10,P10_dense,153,REFERENCE,50,50,0,1067,21.34,329,0.1520,1077,0,0,0,0,0,0
P10,P10_dense,154,ENHANCED,50,50,0,4437,88.74,483,0.1035,1806,0,10,10,22,22,10
P10,P10_dense,154,REFERENCE,50,47,0,1058,22.51,1999,0.0235,1048,0,0,0,0,0,0
P10,P10_dense,155,ENHANCED,50,50,0,5323,106.46,523,0.0956,1893,0,16,16,25,25,16
P10,P10_dense,155,REFERENCE,50,47,0,1034,22.00,1999,0.0235,1047,0,0,0,0,0,0
P10,P10_dense,156,ENHANCED,50,50,0,5143,102.86,516,0.0969,1841,0,11,11,17,17,11
P10,P10_dense,156,REFERENCE,50,50,0,1132,22.64,329,0.1520,1078,0,0,0,0,0,0
P10,P10_dense,157,ENHANCED,50,50,0,5282,105.64,522,0.0958,1855,0,10,10,18,18,10
P10,P10_dense,157,REFERENCE,50,50,0,1089,21.78,329,0.1520,1077,0,0,0,0,0,0
P10,P10_dense,158,ENHANCED,50,50,0,5098,101.96,516,0.0969,1834,0,12,12,11,11,12
P10,P10_dense,158,REFERENCE,50,50,0,1094,21.88,329,0.1520,1076,0,0,0,0,0,0
P10,P10_dense,159,ENHANCED,50,50,0,5488,109.76,539,0.0928,1899,0,13,13,14,14,13
P10,P10_dense,159,REFERENCE,50,41,0,906,22.10,1999,0.0205,1004,0,0,0,0,0,0
P10,P10_heavy,150,ENHANCED,100,100,0,14607,146.07,929,0.1076,3487,0,20,20,24,24,20
P10,P10_heavy,150,REFERENCE,100,100,0,2093,20.93,641,0.1560,2092,0,0,0,0,0,0
P10,P10_heavy,151,ENHANCED,100,100,0,14871,148.71,941,0.1063,3513,0,19,19,28,28,19
P10,P10_heavy,151,REFERENCE,100,100,0,2140,21.40,641,0.1560,2091,0,0,0,0,0,0
P10,P10_heavy,152,ENHANCED,100,100,0,14791,147.91,944,0.1059,3479,0,14,14,39,39,14
P10,P10_heavy,152,REFERENCE,100,90,0,1880,20.89,3999,0.0225,1940,0,0,0,0,0,0
P10,P10_heavy,153,ENHANCED,100,100,0,14071,140.71,913,0.1095,3443,0,14,14,24,24,14
P10,P10_heavy,153,REFERENCE,100,100,0,2163,21.63,641,0.1560,2087,0,0,0,0,0,0
P10,P10_heavy,154,ENHANCED,100,100,0,16518,165.18,955,0.1047,3541,0,21,21,34,34,21
P10,P10_heavy,154,REFERENCE,100,100,0,2047,20.47,643,0.1555,2088,0,0,0,0,0,0
P10,P10_heavy,155,ENHANCED,100,100,0,15657,156.57,942,0.1062,3498,0,16,16,30,30,16
P10,P10_heavy,155,REFERENCE,100,100,0,2147,21.47,645,0.1550,2091,0,0,0,0,0,0
P10,P10_heavy,156,ENHANCED,100,100,0,14655,146.55,934,0.1071,3438,0,13,13,17,17,13
P10,P10_heavy,156,REFERENCE,100,100,0,2142,21.42,641,0.1560,2091,0,0,0,0,0,0
P10,P10_heavy,157,ENHANCED,100,100,0,16808,168.08,946,0.1057,3564,0,26,26,42,42,26
P10,P10_heavy,157,REFERENCE,100,89,0,1830,20.56,3999,0.0223,1902,0,0,0,0,0,0
P10,P10_heavy,158,ENHANCED,100,100,0,14984,149.84,950,0.1053,3550,0,18,18,39,39,18
P10,P10_heavy,158,REFERENCE,100,89,0,1837,20.64,3999,0.0223,1905,0,0,0,0,0,0
P10,P10_heavy,159,ENHANCED,100,100,0,14301,143.01,918,0.1089,3478,0,12,12,38,38,12
P10,P10_heavy,159,REFERENCE,100,91,0,1823,20.03,3999,0.0228,1878,0,0,0,0,0,0
P10,P10_light,150,ENHANCED,20,20,0,876,43.80,185,0.1081,668,0,3,3,4,4,3
P10,P10_light,150,REFERENCE,20,20,0,446,22.30,137,0.1460,407,0,0,0,0,0,0
P10,P10_light,151,ENHANCED,20,20,0,942,47.10,202,0.0990,664,0,2,2,3,3,2
P10,P10_light,151,REFERENCE,20,20,0,425,21.25,138,0.1449,407,0,0,0,0,0,0
P10,P10_light,152,ENHANCED,20,20,0,917,45.85,195,0.1026,662,0,2,2,3,3,2
P10,P10_light,152,REFERENCE,20,20,0,395,19.75,137,0.1460,407,0,0,0,0,0,0
P10,P10_light,153,ENHANCED,20,20,0,870,43.50,186,0.1075,688,0,3,3,6,6,3
P10,P10_light,153,REFERENCE,20,20,0,427,21.35,142,0.1408,407,0,0,0,0,0,0
P10,P10_light,154,ENHANCED,20,20,0,939,46.95,210,0.0952,724,0,5,5,4,4,5
